,ecoregion,year,fraction
0,0,1984,0
1,1,1984,0.0
2,2,1984,0
3,3,1984,0.0011060891614504307
4,4,1984,0.0006028189456774939
5,5,1984,0.00035399090965008387
6,6,1984,0
7,7,1984,0.0
8,8,1984,0
9,9,1984,0
10,10,1984,4.124164522774446e-05
11,11,1984,0.0
12,12,1984,0
13,13,1984,0
14,14,1984,0
15,15,1984,0.0003451385230966879
16,16,1984,0.0
17,17,1984,2.0814754689768443e-05
18,18,1984,3.48664035993398e-05
19,19,1984,0
20,20,1984,0
21,21,1984,0.001458812481029914
22,22,1984,0
23,23,1984,1.722778241150579e-05
24,24,1984,0
25,25,1984,0
26,26,1984,0.00017546161692279501
27,27,1984,0.0
28,28,1984,0.0
29,29,1984,0
30,30,1984,0
31,31,1984,0
32,32,1984,0
33,33,1984,0
34,34,1984,0.00040020632597764376
35,35,1984,0.00223648321601617
36,36,1984,0
37,37,1984,0.00037245657852908614
38,38,1984,0
39,39,1984,0.0
40,40,1984,0
41,41,1984,0.0011249581593620588
42,42,1984,0
43,43,1984,0
44,44,1984,0
45,45,1984,2.061034815889375e-05
46,46,1984,0
47,47,1984,0
48,48,1984,0.0
49,49,1984,0.00040816895353160376
50,50,1984,0
51,51,1984,0
52,52,1984,0
53,53,1984,0.0
54,54,1984,0.0
55,55,1984,0
56,56,1984,1.465502880598575e-05
57,57,1984,0
58,58,1984,0
59,59,1984,0
60,60,1984,0
61,61,1984,0
62,62,1984,0.0
63,63,1984,6.867995307993622e-06
64,64,1984,0
65,65,1984,0.0007356281440142965
66,66,1984,0
67,67,1984,0
68,68,1984,4.058343282632737e-05
69,69,1984,0
70,70,1984,0
71,71,1984,1.4671837931853224e-05
72,72,1984,0.001953807980292391
73,73,1984,0.001239188493993204
74,74,1984,0.0
75,75,1984,0
76,76,1984,0
77,77,1984,0
78,78,1984,0
79,79,1984,0
80,80,1984,0.0
81,81,1984,0
82,82,1984,0
83,83,1984,3.513553852171427e-05
84,84,1984,5.994701361254577e-06
85,85,1984,0
86,86,1984,0.0
87,87,1984,0
88,88,1984,0
89,89,1984,0
90,90,1984,0.0
91,91,1984,0.0
92,92,1984,0
93,93,1984,0.00013568551763347634
94,94,1984,6.931927608387867e-06
95,0,1985,0.000651916374319931
96,1,1985,0.0001380088976956108
97,2,1985,0.0
98,3,1985,0.0003893583908729229
99,4,1985,4.501435423118697e-06
100,5,1985,0.00032708364925203477
101,6,1985,0
102,7,1985,0.0
103,8,1985,5.2700640747269235e-05
104,9,1985,0
105,10,1985,0.00041053724841020434
106,11,1985,0.0
107,12,1985,0
108,13,1985,0
109,14,1985,0
110,15,1985,0.0004669504347146446
111,16,1985,0.0
112,17,1985,0.00027076095986257515
113,18,1985,0.0022525660570506503
114,19,1985,0
115,20,1985,0
116,21,1985,0.0054895584172619276
117,22,1985,0
118,23,1985,0.00015904129668190591
119,24,1985,0
120,25,1985,0
121,26,1985,0.0037625412597072075
122,27,1985,0
123,28,1985,0.0
124,29,1985,0
125,30,1985,0
126,31,1985,0
127,32,1985,3.311582153139362e-05
128,33,1985,0
129,34,1985,0.002025735457498762
130,35,1985,0.0008089738928707803
131,36,1985,0.00014748009220910016
132,37,1985,6.78185881649678e-05
133,38,1985,0
134,39,1985,0.00022138075158195777
135,40,1985,0
136,41,1985,0.005612731746563546
137,42,1985,0
138,43,1985,0.00035910077609572306
139,44,1985,0
140,45,1985,0.0012886284586786122
141,46,1985,0
142,47,1985,0
143,48,1985,0.0
144,49,1985,0.014540607902430063
145,50,1985,0.0
146,51,1985,0
147,52,1985,0
148,53,1985,0
149,54,1985,0.0
150,55,1985,0
151,56,1985,0.00042032859096546876
152,57,1985,0
153,58,1985,0
154,59,1985,0
155,60,1985,0
156,61,1985,2.5091933296975633e-05
157,62,1985,0
158,63,1985,4.3949125406785896e-07
159,64,1985,0.0
160,65,1985,0.00014568774401513957
161,66,1985,0
162,67,1985,0
163,68,1985,2.0667283361078605e-08
164,69,1985,0
165,70,1985,0.0
166,71,1985,0
167,72,1985,0.007481845487542775
168,73,1985,0.009192042297893867
169,74,1985,0
170,75,1985,0.0
171,76,1985,0
172,77,1985,4.096143202483805e-05
173,78,1985,0
174,79,1985,0
175,80,1985,0
176,81,1985,2.8003781861825323e-05
177,82,1985,0
178,83,1985,0.00023418373126088003
179,84,1985,0.0007771889380389445
180,85,1985,0
181,86,1985,0
182,87,1985,0.00011883151936634553
183,88,1985,0
184,89,1985,0
185,90,1985,3.149652302747285e-05
186,91,1985,3.871949528705506e-05
187,92,1985,0
188,93,1985,0.0007919584638540295
189,94,1985,0.0
190,0,1986,0
191,1,1986,4.924038511931335e-05
192,2,1986,0
193,3,1986,0
194,4,1986,5.881719735984056e-06
195,5,1986,8.367199950593585e-05
196,6,1986,0
197,7,1986,0
198,8,1986,0
199,9,1986,0
200,10,1986,0.002129213485839504
201,11,1986,0
202,12,1986,0
203,13,1986,0
204,14,1986,0
205,15,1986,0.0
206,16,1986,0.0
207,17,1986,0.0
208,18,1986,0.002594890950413981
209,19,1986,0
210,20,1986,0
211,21,1986,0.0020868393418987186
212,22,1986,8.849168250614119e-05
213,23,1986,0.0
214,24,1986,0
215,25,1986,0
216,26,1986,0.0020795266526138015
217,27,1986,0
218,28,1986,0
219,29,1986,0
220,30,1986,0
221,31,1986,0
222,32,1986,0
223,33,1986,0
224,34,1986,0.00010043508792777321
225,35,1986,0.00020696550106091082
226,36,1986,8.01926642051444e-06
227,37,1986,0.0
228,38,1986,0
229,39,1986,9.909377299347182e-05
230,40,1986,0.0
231,41,1986,0.000399126368485016
232,42,1986,0.0
233,43,1986,0.0
234,44,1986,2.902732871610669e-05
235,45,1986,0.0004002390100660127
236,46,1986,0
237,47,1986,0
238,48,1986,0
239,49,1986,0.0011115620674023183
240,50,1986,0.0
241,51,1986,0
242,52,1986,0
243,53,1986,0.0
244,54,1986,1.7098568071033276e-08
245,55,1986,9.012903799238485e-05
246,56,1986,0.0021484017302637573
247,57,1986,0.00029771608955832035
248,58,1986,0
249,59,1986,0.0
250,60,1986,0.0
251,61,1986,9.287233884395184e-05
252,62,1986,0.0002084650811191995
253,63,1986,0.00015825385003929594
254,64,1986,1.8311751869118185e-05
255,65,1986,0.0005098370041354794
256,66,1986,0
257,67,1986,0
258,68,1986,1.716168549778041e-05
259,69,1986,0
260,70,1986,0
261,71,1986,4.6646885288124736e-05
262,72,1986,0.0006030086159593618
263,73,1986,0.0003001564646050194
264,74,1986,0.0
265,75,1986,0.0
266,76,1986,0.0
267,77,1986,0
268,78,1986,0
269,79,1986,0.0
270,80,1986,0.0
271,81,1986,5.8453442512232455e-05
272,82,1986,0
273,83,1986,3.766529033206014e-05
274,84,1986,0.0008569484236082772
275,85,1986,0
276,86,1986,0.0
277,87,1986,0
278,88,1986,0
279,89,1986,8.628525650062188e-05
280,90,1986,0.00014612241763113998
281,91,1986,8.85662451128975e-06
282,92,1986,0.0
283,93,1986,0.0
284,94,1986,0.0001484968838952395
285,0,1987,0
286,1,1987,0.00026376084784511056
287,2,1987,0
288,3,1987,4.725905762391271e-05
289,4,1987,0.0
290,5,1987,0.00015233449421016572
291,6,1987,0.00019314128761644246
292,7,1987,0.0
293,8,1987,0.00017781262569040187
294,9,1987,0.0009133079235505954
295,10,1987,9.65588881810168e-05
296,11,1987,0.0
297,12,1987,0.0
298,13,1987,0
299,14,1987,1.0808745993164845e-05
300,15,1987,0.0
301,16,1987,0.00020197944571519178
302,17,1987,0.00011737751933227029
303,18,1987,0.0019482282332298404
304,19,1987,0
305,20,1987,0
306,21,1987,0.00048217922288476084
307,22,1987,0
308,23,1987,0.012478404838285734
309,24,1987,0
310,25,1987,0
311,26,1987,0.0008669617653209942
312,27,1987,0.0
313,28,1987,0.0
314,29,1987,1.5650704796004447e-05
315,30,1987,0
316,31,1987,0
317,32,1987,0.00020224716003289784
318,33,1987,0
319,34,1987,0.00014165134428494034
320,35,1987,0.0013061581742393298
321,36,1987,9.696725285115945e-05
322,37,1987,0.0008661907998744772
323,38,1987,0
324,39,1987,0.0004325198161754801
325,40,1987,0
326,41,1987,0.0004503387177875803
327,42,1987,0
328,43,1987,0
329,44,1987,0
330,45,1987,0.0004776316368736843
331,46,1987,0
332,47,1987,0
333,48,1987,0.0
334,49,1987,2.989408160269309e-05
335,50,1987,0.0001911188659796958
336,51,1987,0
337,52,1987,0
338,53,1987,0.0
339,54,1987,0.0
340,55,1987,0
341,56,1987,0.0011663018483838233
342,57,1987,0
343,58,1987,0
344,59,1987,0.00023666981132279511
345,60,1987,0
346,61,1987,0
347,62,1987,0.0
348,63,1987,3.4502364444697e-05
349,64,1987,0.0013273962072692994
350,65,1987,0.0081227278770854
351,66,1987,0
352,67,1987,0
353,68,1987,0.00015381144441833659
354,69,1987,0
355,70,1987,0.0
356,71,1987,1.515861857652834e-05
357,72,1987,0.00021310589958069731
358,73,1987,0.002251891929227833
359,74,1987,0.0006051282417502451
360,75,1987,2.179200778420988e-05
361,76,1987,0.0
362,77,1987,4.9226555700353855e-05
363,78,1987,4.303935506425215e-06
364,79,1987,0.0009612861969353158
365,80,1987,0.0
366,81,1987,6.360239296843698e-05
367,82,1987,2.0447888007051273e-05
368,83,1987,0.0004777199034884106
369,84,1987,3.991623048318788e-05
370,85,1987,0.0
371,86,1987,0
372,87,1987,0.0002642334681706314
373,88,1987,0
374,89,1987,0
375,90,1987,0.0003458108099161802
376,91,1987,3.753256491480971e-05
377,92,1987,0
378,93,1987,6.499227155080542e-08
379,94,1987,4.774360840350377e-06
380,0,1988,0.0022253066645840707
381,1,1988,0.0012302123969770748
382,2,1988,0.0
383,3,1988,0.009729616819272969
384,4,1988,0.00032183920241021807
385,5,1988,4.7243090290588104e-05
386,6,1988,0
387,7,1988,0.00012024756825127731
388,8,1988,0.0
389,9,1988,0.0003024310890970165
390,10,1988,0.0006561919288305956
391,11,1988,0.0
392,12,1988,0.0
393,13,1988,0
394,14,1988,1.2469443978940879e-05
395,15,1988,0.004760919241417345
396,16,1988,0.0014286203583306883
397,17,1988,0.0006450441304985683
398,18,1988,0.006470975735141004
399,19,1988,0
400,20,1988,9.157550919062264e-06
401,21,1988,0.00019635234271727625
402,22,1988,0.0
403,23,1988,0.0007439601063639982
404,24,1988,0.0
405,25,1988,0
406,26,1988,0.0005859724259199946
407,27,1988,0.041943942252437916
408,28,1988,0.0009620892413795386
409,29,1988,0
410,30,1988,0.0
411,31,1988,0
412,32,1988,8.022138863668845e-05
413,33,1988,0
414,34,1988,0.001006526112652359
415,35,1988,0.0018397312106499856
416,36,1988,0.0003936166711322315
417,37,1988,0.0002588669964797887
418,38,1988,0
419,39,1988,0.007235363232478678
420,40,1988,0
421,41,1988,0.00014930101603234888
422,42,1988,0
423,43,1988,9.186629244022701e-06
424,44,1988,4.525584876853717e-05
425,45,1988,0.0001655187955745617
426,46,1988,0
427,47,1988,0
428,48,1988,7.491190704385025e-06
429,49,1988,7.931700217514398e-05
430,50,1988,8.235960679095674e-05
431,51,1988,0
432,52,1988,0
433,53,1988,0.0
434,54,1988,3.838320725340874e-05
435,55,1988,0.00013778941011434695
436,56,1988,0.000506154467767014
437,57,1988,0.00013958269108729795
438,58,1988,0
439,59,1988,0.0
440,60,1988,0
441,61,1988,0.0
442,62,1988,6.289220583412505e-05
443,63,1988,4.723746645885897e-05
444,64,1988,2.8435580225182145e-05
445,65,1988,0.001409240631592168
446,66,1988,0
447,67,1988,0
448,68,1988,0.00019796598133601544
449,69,1988,3.5988546907726695e-05
450,70,1988,0.0
451,71,1988,0.00010864019064151293
452,72,1988,0.0007477117514413261
453,73,1988,0.0013669333945419547
454,74,1988,0.00037536820571342123
455,75,1988,6.238771551352414e-07
456,76,1988,0
457,77,1988,0.00011655292231563861
458,78,1988,9.836716256305975e-06
459,79,1988,2.372996508271876e-05
460,80,1988,0.0
461,81,1988,4.6657696487594904e-05
462,82,1988,0
463,83,1988,5.6972009457365666e-05
464,84,1988,1.711425284131265e-05
465,85,1988,0
466,86,1988,0
467,87,1988,0.0
468,88,1988,0
469,89,1988,0
470,90,1988,0.00020365215098722288
471,91,1988,0.0
472,92,1988,0
473,93,1988,6.238148094248939e-05
474,94,1988,0
475,0,1989,0.0
476,1,1989,0.0
477,2,1989,0
478,3,1989,0
479,4,1989,0.0
480,5,1989,0.00014936140683904117
481,6,1989,0
482,7,1989,0
483,8,1989,0
484,9,1989,0
485,10,1989,0.0026720604601777605
486,11,1989,9.096525728180154e-05
487,12,1989,0
488,13,1989,0
489,14,1989,0
490,15,1989,0.0
491,16,1989,0
492,17,1989,0.00023836258573133002
493,18,1989,0.0033184406443488527
494,19,1989,0
495,20,1989,0
496,21,1989,7.09210183225076e-05
497,22,1989,0
498,23,1989,0.00016120039205906687
499,24,1989,0
500,25,1989,0
501,26,1989,0.0005658856613742092
502,27,1989,3.962625746936004e-05
503,28,1989,0.0
504,29,1989,0
505,30,1989,0
506,31,1989,0
507,32,1989,0
508,33,1989,0
509,34,1989,0.0002993510931916802
510,35,1989,0.0006906267043485068
511,36,1989,0.0
512,37,1989,0
513,38,1989,0
514,39,1989,0.0003703831206712472
515,40,1989,0
516,41,1989,8.977257655019602e-05
517,42,1989,0
518,43,1989,0.0
519,44,1989,0
520,45,1989,0.00025856196062424224
521,46,1989,0
522,47,1989,0
523,48,1989,7.495001700596377e-06
524,49,1989,0.0005086827821519051
525,50,1989,5.120641049220536e-05
526,51,1989,0
527,52,1989,0
528,53,1989,0.0
529,54,1989,0.0017250520153464883
530,55,1989,4.689700800111041e-05
531,56,1989,0.0001314246023265147
532,57,1989,7.309577655495268e-05
533,58,1989,0.0
534,59,1989,0
535,60,1989,0
536,61,1989,0.00010692868438860299
537,62,1989,0.00030219062695454295
538,63,1989,7.847983808149756e-05
539,64,1989,0
540,65,1989,0.000714658859994768
541,66,1989,0
542,67,1989,0
543,68,1989,6.148741907211286e-05
544,69,1989,1.72784070784204e-05
545,70,1989,0
546,71,1989,2.9106679824910872e-05
547,72,1989,0.0007358443800849154
548,73,1989,0.005303808419177113
549,74,1989,0.0002851623814424879
550,75,1989,0.0
551,76,1989,0
552,77,1989,0.0005108738200881071
553,78,1989,0.00027612920905164943
554,79,1989,0
555,80,1989,0
556,81,1989,0
557,82,1989,0.0001897735628950296
558,83,1989,0.0008029664070445486
559,84,1989,0.0002104137626494118
560,85,1989,0.0
561,86,1989,0.0
562,87,1989,0
563,88,1989,0.0
564,89,1989,0
565,90,1989,0.0008643977411356939
566,91,1989,1.0375814589184871e-05
567,92,1989,0
568,93,1989,0.0
569,94,1989,0.00021020521021875027
570,0,1990,0
571,1,1990,4.323671179938888e-05
572,2,1990,0
573,3,1990,0
574,4,1990,4.8814289468233634e-05
575,5,1990,0.0001691953565552717
576,6,1990,0
577,7,1990,0
578,8,1990,0.0
579,9,1990,0
580,10,1990,0.0033399929731288097
581,11,1990,0.0
582,12,1990,0
583,13,1990,0
584,14,1990,0
585,15,1990,0.00045637327787702504
586,16,1990,0.00046765434807218345
587,17,1990,0.000117790050758219
588,18,1990,0.0003247753388048711
589,19,1990,0
590,20,1990,0
591,21,1990,4.212225437277226e-05
592,22,1990,0
593,23,1990,0.0004557044625366529
594,24,1990,0
595,25,1990,0
596,26,1990,0.0015082526679227823
597,27,1990,0.00010718522250246071
598,28,1990,0.0006160871926937819
599,29,1990,0
600,30,1990,0
601,31,1990,0
602,32,1990,0.00025522351883091124
603,33,1990,0
604,34,1990,5.7536304034538586e-05
605,35,1990,0.006773008902826672
606,36,1990,0.0
607,37,1990,0.0022964709256364933
608,38,1990,0
609,39,1990,0.0
610,40,1990,0
611,41,1990,0.00015736286353954692
612,42,1990,0
613,43,1990,0.0
614,44,1990,0
615,45,1990,0.0
616,46,1990,0
617,47,1990,0
618,48,1990,0.0
619,49,1990,0.0
620,50,1990,0.0
621,51,1990,0
622,52,1990,0
623,53,1990,0.0
624,54,1990,0.00019617915052790613
625,55,1990,0
626,56,1990,0.000304129348531873
627,57,1990,0.0
628,58,1990,0
629,59,1990,0
630,60,1990,0
631,61,1990,8.284354063086691e-06
632,62,1990,0.0001759833346368362
633,63,1990,2.136174550490101e-05
634,64,1990,0
635,65,1990,0.002670951350524429
636,66,1990,0
637,67,1990,0
638,68,1990,0.0
639,69,1990,2.8552831107815317e-05
640,70,1990,0
641,71,1990,2.428794641502592e-07
642,72,1990,0.0008183006917183489
643,73,1990,0.0009557200231901914
644,74,1990,8.938124935867954e-05
645,75,1990,0.0
646,76,1990,0.0
647,77,1990,0.00015563524849674908
648,78,1990,7.405275286625916e-05
649,79,1990,0
650,80,1990,0
651,81,1990,0
652,82,1990,0
653,83,1990,0.0016616971995484743
654,84,1990,1.5405268109040458e-05
655,85,1990,0
656,86,1990,0
657,87,1990,0
658,88,1990,0
659,89,1990,0
660,90,1990,0.00010440493788009674
661,91,1990,1.2077769134229677e-05
662,92,1990,0
663,93,1990,0
664,94,1990,4.695122068430921e-06
665,0,1991,0.00047622910170866937
666,1,1991,0.00021349251907599017
667,2,1991,0
668,3,1991,0.0006285001714186675
669,4,1991,0.0007311792867472522
670,5,1991,6.919090101553416e-05
671,6,1991,0.0
672,7,1991,0.00010079192724929211
673,8,1991,0.0
674,9,1991,0
675,10,1991,0.00011427581366358083
676,11,1991,0.0
677,12,1991,0
678,13,1991,0
679,14,1991,0.0
680,15,1991,0.00028719281568250155
681,16,1991,0.0
682,17,1991,0.00015363299189828165
683,18,1991,0.0003536835866296158
684,19,1991,0
685,20,1991,0
686,21,1991,0.0001434219603205166
687,22,1991,0
688,23,1991,0.0002059906804842487
689,24,1991,3.17971209844406e-05
690,25,1991,0
691,26,1991,0.000717567007732206
692,27,1991,0.0002686867720719909
693,28,1991,0.0
694,29,1991,0
695,30,1991,0.0
696,31,1991,0
697,32,1991,0
698,33,1991,0
699,34,1991,0.0
700,35,1991,0.0004579024605913283
701,36,1991,0.0
702,37,1991,0.00022673462305116153
703,38,1991,0
704,39,1991,0.0001599615208067089
705,40,1991,0
706,41,1991,9.512356141200422e-05
707,42,1991,0
708,43,1991,0.0
709,44,1991,0
710,45,1991,1.214747844742132e-05
711,46,1991,0
712,47,1991,0
713,48,1991,0.0
714,49,1991,8.77212005561644e-05
715,50,1991,0
716,51,1991,0
717,52,1991,0
718,53,1991,0.0
719,54,1991,0
720,55,1991,0
721,56,1991,1.6138331768203053e-05
722,57,1991,3.377846206489986e-05
723,58,1991,0
724,59,1991,1.3563438499464451e-06
725,60,1991,0
726,61,1991,9.01066080773299e-05
727,62,1991,0
728,63,1991,0.0
729,64,1991,0.00023072368749517917
730,65,1991,0.0001426676970542843
731,66,1991,0
732,67,1991,0
733,68,1991,0.0
734,69,1991,0.0
735,70,1991,0.0
736,71,1991,6.968759738004875e-05
737,72,1991,0.0
738,73,1991,0.0003309216820127754
739,74,1991,1.8676087127537185e-06
740,75,1991,0.0
741,76,1991,0.0
742,77,1991,8.290335084655878e-06
743,78,1991,5.311867925750517e-05
744,79,1991,4.095730339240527e-05
745,80,1991,0
746,81,1991,1.706067295685234e-05
747,82,1991,0.0
748,83,1991,7.068118956302262e-05
749,84,1991,7.366069614503648e-05
750,85,1991,0.0014916869082791358
751,86,1991,7.322789334929324e-05
752,87,1991,0
753,88,1991,0
754,89,1991,0
755,90,1991,6.936131668876033e-05
756,91,1991,8.79294296836212e-06
757,92,1991,0
758,93,1991,0.0
759,94,1991,3.586888538212703e-06
760,0,1992,0.000320955770459521
761,1,1992,0.0
762,2,1992,0
763,3,1992,0
764,4,1992,3.008540214734263e-06
765,5,1992,0.0002968606329452483
766,6,1992,0
767,7,1992,0
768,8,1992,0.0
769,9,1992,0.0
770,10,1992,0.0002421941321390582
771,11,1992,0
772,12,1992,0
773,13,1992,0
774,14,1992,0.0
775,15,1992,0.0
776,16,1992,0.002511916436373638
777,17,1992,8.668009274037433e-05
778,18,1992,0.005732578968226594
779,19,1992,0
780,20,1992,0.0005639860674681269
781,21,1992,0.0002552356315956256
782,22,1992,0
783,23,1992,0.003151098081151218
784,24,1992,0
785,25,1992,0
786,26,1992,0.0011145862612227182
787,27,1992,0
788,28,1992,0.0
789,29,1992,0
790,30,1992,0
791,31,1992,0
792,32,1992,0
793,33,1992,0
794,34,1992,0.0002201851272413429
795,35,1992,0.001746955436759657
796,36,1992,4.397900279125506e-05
797,37,1992,0.000935295695409256
798,38,1992,0
799,39,1992,0.00013689602468433274
800,40,1992,0
801,41,1992,8.702557647986107e-05
802,42,1992,0
803,43,1992,0.0
804,44,1992,0
805,45,1992,0.00014674140603460704
806,46,1992,0
807,47,1992,0
808,48,1992,0
809,49,1992,0.000762933291662974
810,50,1992,0
811,51,1992,0
812,52,1992,0
813,53,1992,0.0
814,54,1992,0.0
815,55,1992,0.0
816,56,1992,0.00014834191377654363
817,57,1992,0
818,58,1992,0.0
819,59,1992,0
820,60,1992,0
821,61,1992,0.00012962242031573472
822,62,1992,0
823,63,1992,0.0
824,64,1992,0
825,65,1992,0.002544329576782808
826,66,1992,0
827,67,1992,0
828,68,1992,5.1820010417238065e-05
829,69,1992,0
830,70,1992,0
831,71,1992,0.00012041962105580235
832,72,1992,0.0
833,73,1992,0.0006913721850254958
834,74,1992,0.0
835,75,1992,0.0
836,76,1992,0
837,77,1992,0.0003036452007677166
838,78,1992,1.9054137741847053e-05
839,79,1992,0
840,80,1992,0
841,81,1992,0
842,82,1992,0.00019354264919814207
843,83,1992,0.0001102637834796315
844,84,1992,4.071165108240196e-05
845,85,1992,2.118875246444044e-06
846,86,1992,0.0
847,87,1992,0
848,88,1992,0.0
849,89,1992,0
850,90,1992,2.9934460733930332e-05
851,91,1992,9.731742146016054e-06
852,92,1992,0
853,93,1992,5.926363615040657e-06
854,94,1992,2.5208630543194435e-06
855,0,1993,0
856,1,1993,0.0
857,2,1993,0
858,3,1993,0
859,4,1993,0
860,5,1993,8.334709547377708e-05
861,6,1993,0
862,7,1993,0
863,8,1993,0
864,9,1993,0
865,10,1993,1.3155926855516694e-05
866,11,1993,0
867,12,1993,0
868,13,1993,0
869,14,1993,0
870,15,1993,0
871,16,1993,0.0
872,17,1993,0.0
873,18,1993,0
874,19,1993,0
875,20,1993,0
876,21,1993,8.714878139752901e-05
877,22,1993,0
878,23,1993,0
879,24,1993,0
880,25,1993,0
881,26,1993,6.786677906476036e-06
882,27,1993,0
883,28,1993,0
884,29,1993,0
885,30,1993,0
886,31,1993,0
887,32,1993,0
888,33,1993,0
889,34,1993,0.00023655395965029998
890,35,1993,0.0
891,36,1993,0.0003362041805535253
892,37,1993,0
893,38,1993,0
894,39,1993,0.0
895,40,1993,0
896,41,1993,2.0206380932330312e-06
897,42,1993,0
898,43,1993,0
899,44,1993,0
900,45,1993,0.00025979484463678276
901,46,1993,0
902,47,1993,0
903,48,1993,0.0
904,49,1993,0.0
905,50,1993,0.0
906,51,1993,0
907,52,1993,0
908,53,1993,0
909,54,1993,4.4578216334217303e-05
910,55,1993,0.0
911,56,1993,0.00014342693370388048
912,57,1993,0
913,58,1993,0
914,59,1993,0
915,60,1993,0
916,61,1993,0.0
917,62,1993,0.0
918,63,1993,3.582332379344006e-05
919,64,1993,0
920,65,1993,3.96756546514643e-05
921,66,1993,0
922,67,1993,0
923,68,1993,0.0005086394891059616
924,69,1993,0.00011011749110742562
925,70,1993,0
926,71,1993,0
927,72,1993,0.008350449460946251
928,73,1993,0.006189244647754805
929,74,1993,0.0003555866362700052
930,75,1993,0.0
931,76,1993,1.4477587437371e-06
932,77,1993,0.0003079902132965516
933,78,1993,0.00014928518223184946
934,79,1993,0
